"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"AGE",1,98,15.8812244897959,0.284576970567845,15.92,15.881625,0.37065,15.42,16.33,0.909999999999998,0.0020469329147232,-1.17672269901704,0.0287466150940068
"ECON_SOCIAL_CUL",2,99,-1.16218181818182,1.08220012421443,-1.0983,-1.13891975308642,1.2216624,-3.6745,0.8365,4.511,-0.177188696356163,-0.702139544914463,0.108765204851372
"ED_RESOURCE",3,99,-0.824249494949495,1.23454118622444,-0.7218,-0.757004938271605,1.06954764,-4.3861,1.1563,5.5424,-0.606441537113786,1.02891779031594,0.124076057665052
"ENV_AWARENESS",4,99,-0.0851919191919192,1.00889313249282,-0.1113,-0.0880024691358025,0.91461594,-3.3765,2.2983,5.6748,-0.265613062003952,1.0918290874654,0.101397574971061
"HOUSE_POS",5,98,-1.95826530612245,1.04069212408591,-1.9844,-1.92144625,0.94908639,-4.5158,0.2757,4.7915,-0.216063687946418,-0.259626719207804,0.105125779724083
"PARENT_ED",6,99,11.2727272727273,3.61351821839281,12,11.7777777777778,4.4478,3,15,12,-1.01772800877071,0.221775705528525,0.363172245561288
"REPEAT",7,99,0.646464646464647,0.480499980104298,1,0.679012345679012,0,0,1,1,-0.603476427032505,-1.65220003060913,0.0482920650236119
"SCI_KNOWLEDGE",8,99,-0.193732323232323,0.798722390385878,-0.1933,-0.212645679012346,0.7086828,-2.7904,2.1552,4.9456,0.126941509053178,0.851268298932274,0.0802746206232039
"SELF_EFFICACY",9,98,-0.25875306122449,1.02266384851152,-0.3918,-0.33464375,0.84159789,-2.371,3.2775,5.6485,1.13372735163804,2.48866712212049,0.103304648879547
"SEX*",10,99,1.42424242424242,0.496742636335202,1,1.40740740740741,0,1,2,1,0.301936424354021,-1.92800412417637,0.0499245133968432
"ST022Q01TA*",11,99,1.09090909090909,0.288942798198532,1,1,0,1,2,1,2.80303700393809,5.91709009284767,0.0290398438636336
"STU_SCI_LITERACY",12,99,408.00103030303,72.9198143296211,394.565,404.322555555556,70.9616838,239.863,600.032,360.169,0.493200606900738,0.118398382864065,7.32871708829498
"TECH_RESOURCE",13,99,-1.90738585858586,0.963319464887237,-1.9553,-1.96742345679012,0.98696682,-3.3808,0.7936,4.1744,0.463716605249478,-0.350624011487508,0.0968172490386942
"WEALTH",14,99,-1.96035353535354,1.05706544275555,-2.0503,-1.95702592592593,0.8710275,-4.9389,0.8853,5.8242,-0.0286808809992094,0.519254594779513,0.106239074317305
